enunciados|modelos
A la turbina de un ciclo Rankine ideal entra vapor sobrecalentado a 30 bar y 500 °C y sale del condensador como líquido saturado a 0,1 bar. Determínese (a) el rendimiento térmico. (b) el flujo másico de vapor necesario en kg/h. (c) el flujo de calor suministrado al ciclo en MW, y (d) el flujo másico de agua de refrigeración en kg/h si ésta aumenta su temperatura desde 18 hasta 28 °C. La potencia neta de salida es 100 MW.|Rankine
A un ciclo Diesel de aire estándar se le suministran 1.659 kJ/kg de calor por ciclo. La presión y la temperatura al comienzo de la compresión son, respectivamente, 0,095 MPa y 27 ºC, y la presión después de la compresión es 3,60 MPa. Determínese (a) la relación de compresión, (b) la temperatura máxima del ciclo, en kelvin, (c) la relación de corte, (d) la presión después de la expansión isoentrópica, en megapascales, y (e) el trabajo neto, en kJ/kg. Utilícese la Tabla A.5.|Diesel
A un ciclo Diesel de aire estándar se le suministran 724 Btu/lbm de calor por ciclo. La presión y la temperatura al comienzo de la compresión son. respectivamente. 14,0 psia y 80 °F. y la presión después de la compresión es 540 psia. Determínese (a) la relación de compresión, (b) la temperatura máxima del ciclo, en grados Rankine, (c) la relación de corte, (d) la presión después de la expansión isoentrópica, en psia, y (e) el flujo volumétrico de aire, medido en las condiciones existentes al comenzar la compresión, necesario para producir 150 hp. Utilícese la Tabla A.5I.|Diesel
Considérese un ciclo Otto de aire estándar que tiene una relación de compresión de 8,0 y al que se le suministra una cantidad de calor de 1.188 kJ/kg. Si la presión y la temperatura al comienzo del proceso de compresión son 0,098 MPa y 27 °C. determínese utilizando los valores de la Tabla A.5 (a) las presiones y temperaturas en el ciclo, (b) el trabajo neto de salida en kJ/kg, (c) el rendimiento térmico, y (d) la presión media efectiva en MPa.|Otto
Considérese un ciclo Otto de aire estándar que tiene una relación de compresión de 8,3 y al que se le suministra una cantidad de calor de 1.456 kJ/kg. Si la presión y la temperatura al comienzo del proceso de compresión son 0,095 MPa y 7 °C, determínese utilizando los valores de la Tabla A.5 (a) la presión y temperatura máximas del ciclo, (b) el trabajo neto obtenido, en kJ/kg. (c) el rendimiento térmico, y (d) la presión media efectiva en megapascales.|Otto
Considérese un ciclo Otto de aire estándar que tiene una relación de compresión de 9,0 y al que se le suministra una cantidad de calor de 821 Btu/lbm. Si la presión y la temperatura al comienzo del proceso de compresión son 14.0 psia y 40 °F. determínese utilizando los valores de la Tabla A.51 (a) la presión y temperatura máximas del ciclo. (b) el trabajo neto obtenido, en Btu/lbm, (c) el rendimiento térmico, y (d) la presión media efectiva en psi.|Otto
Determínese (a) la calidad del vapor que sale de la turbina, y (b) el rendimiento térmico de un ciclo Rankine ideal sin sobrecalentamiento en el que las condiciones de entrada a la turbina son vapor saturado a 30 bar y la presión del condensador es 0,1 bar.|Rankine
En un ciclo Brayton de aire estándar, la relación de presiones es 6,0. y las condiciones de entrada al compresor son 15 psia y 40 °F. La temperatura de entrada a la turbina está limitada a 1.440 °F. y el flujo másico es 10 lbm/s. Los rendimientos adiabáticos del compresor y la turbina son 0,80 y 0,85, respectivamente. Determínese (a) el trabajo del compresor y el de la turbina, en Btu/lbin, (b) el rendimiento térmico, (c) la potencia neta obtenida, en hp, y (d) el flujo volumétrico a la entrada del compresor, en ft3/min. Utilícense los valores de la Tabla A.51. (Véase el Problema 15.63I.)|Joule
En un ciclo Brayton, el aire entra al compresor en unas condiciones de 300 K y 100 kPa, y la relación de presiones es de 7:1. Para unas temperaturas de entrada a la turbina desde 900 hasta 1.500 K, en intervalos de 100 grados, calcúlese mediante un programa de ordenador y dibújese (a) el rendimiento térmico, (b) la relación de acoplamiento, y (c) el trabajo neto de salida, en kJ/kg.|Joule
En un ciclo Joule (Brayton) de aire estándar, el aire entra al compresor a 100 kPa y 290 K. La presión de salida del compresor es de 480 kPa y  la temperatura máxima del ciclo es de 1150 K. Si la masa es de 1 kg, determinar los valores de las variables de estado en los cuatro estados termodinámicos y mostrar los diagramas P-V y T-s del ciclo Joule.|Joule
En un ciclo Otto de aire estándar, el aire entra al compresor a 100 kPa y 290 K. La presión de salida del compresor es de 1840 kPa y la masa es de 1 kg. Si la transmisión de calor al aire es de 1863 kJ/kg, determinar los valores de las variables de estado en los cuatro estados termodinámicos y mostrar los diagramas P-V y T-s del ciclo Otto.|Otto
En un ciclo Otto de aire estándar, el aire se encuentra a 0,095 MPa y 22 °C al comenzar la carrera de compresión, y el volumen del cilindro es 2.800 cm3. La relación de compresión es 9. y en el proceso de suministro de calor se comunican 3.54 kJ. Utilizando los valores de la Tabla A.5, determínese (a) la temperatura y la presión al final de los procesos de suministro de calor y de expansión. (b) el rendimiento térmico, (c) la presión media efectiva, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potencia neta de 110 kW.|Otto
En un ciclo Otto de aire estándar, el aire se encuentra a 0,095 MPa y 22 ºC al comenzar la carrera de compresión, y el volumen del cilindro es 2.800 cm3. La relación de compresión es 9, y en el proceso de suministro de calor se transfieren 4.30 kJ. Utilizando los valores de la Tabla A.5, determínese (a) la temperatura y la presión al final de los procesos de suministro de calor y de expansión. (b) el rendimiento térmico, (c) la presión media efectiva, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potencia de 120 kW.|Otto
En un ciclo Otto de aire estándar, el aire se encuentra a 14,0 psia y 80 °F al comenzar la carrera de compresión, y el volumen del cilindro es 0.20 ft3. La relación de compresión es 9. y en el proceso de suministro de calor se transfieren 9,20 Btu. Utilizando los valores de la Tabla A.5I, determínese (a) la temperatura y la presión al final de los procesos de suministro de calor y de expansión, (b) el rendimiento térmico, (c) la presión media efectiva en psi, y (J) el flujo volumétrico de aire, en ft3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potencia de 120 hp.|Otto
En un ciclo Rankine ideal, el vapor de agua entra a la turbina a 40 bar y 440 °C. Si de la turbina salen 10.000 kW, determínese (1) la calidad a la salida de la turbina, (2) el rendimiento térmico, y (3) el flujo másico de vapor, en kg/h, para presiones del condensador de (a) 0,08 bar, y (b) 0,04 bar.|Rankine
En un ciclo Rankine se dispone de vapor sobrecalentado a 2720 kPa y 588 K, el cual entra a la turbina y se expande hasta una presión de 6.89 kPa, para luego entrar al condensador, la temperatura en el estado 2 es de 314 K y el flujo másico es igual a 3700 kg/h, determinar los valores de las variables de estado en los cuatro estados termodinámicos y mostrar el diagrama T-s del ciclo Rankine ideal.|Rankine
La relación de compresión de un ciclo Otto es 8:1. Antes de comenzar la carrera de compresión en el ciclo la presión es 0,98 bar y la temperatura 27 ºC. Durante el suministro de calor el valor de P3/P2  es 2.90. Utilizando los datos de la Tabla A.5, determínese (a) la presión y la temperatura al final de cada proceso del ciclo, (b) el rendimiento térmico, (c) la presión media efectiva, en bar, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir 120 kW.|Otto
La relación de compresión de un ciclo Otto es 8:1. Antes de comenzar la carrera de compresión en el ciclo la presión es 0.98 bar y la temperatura 27 °C. El calor suministrado al aire en cada ciclo es 1.430 kJ/kg. Utilizando los datos de la Tabla A.5, determínese (a) la presión y la temperatura al final de cada proceso del ciclo. (b) el rendimiento térmico. (c) la presión media efectiva, en bar, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir 120 kW.|Otto
La relación de compresión de un ciclo Otto es 8:1. Antes de comenzar la carrera de compresión en el ciclo la presión es 14,5 psia y la temperatura 80°F. El calor suministrado al aire es 888 Btu/lbm por ciclo, utilizando los datos de la Tabla A.51, determínese (a) la presión y la temperatura al final de cada proceso del ciclo. (b) el rendimiento térmico, (c) la presión media efectiva, en psi, y (d) el flujo volumétrico en ft3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir 110 hp.|Otto
La relación de presiones en un ciclo Brayton de aire estándar es 4,5, y las condiciones de entrada al compresor son 0,10 MPa y 27 °C. La temperatura de entrada a la turbina está limitada a 827 °C, y el flujo másico es 4 kg/s. Determínese (a) el trabajo del compresor y de la turbina, en kJ/kg, (b) el rendimiento térmico, (c) la potencia neta de salida, en kW, y (d) el flujo volumétrico a la entrada del compresor, en m3/min. Para los valores del aire utilícese la Tabla A.5.|Joule
La relación de presiones en un ciclo Brayton de aire estándar es 7,2:1, y las condiciones de entrada son 1,0 bar y 17 °C. La temperatura de entrada a la turbina está limitada a 1.260 K. y el flujo másico es 3.5 kg/s. Determínese (a) el trabajo del compresor y de la turbina, en kJ/kg, (b) el rendimiento térmico, (c) la potencia neta de salida, en kW, y (dZ) el flujo volumétrico a la entrada del compresor, en m3/min. Para los valores del aire utilícese la Tabla A.5.|Joule
Las condiciones de entrada a un ciclo Diesel de aire estándar que funciona con una relación de compresión de 15 son 14,4 psia y 60 °F. La relación de corte es (a) 2,84, y (b) 2,0. Determínese (1) la presión y la temperatura al final de cada proceso del ciclo, y (2) el rendimiento térmico y la presión media efectiva. Úsese la Tabla A.51.|Diesel
Las condiciones de entrada a un ciclo Diesel de aire estándar que funciona con una relación de compresión de 15:1 son 0,95 bar y 17 °C. Al comienzo de la compresión el volumen del cilindro es 3,80 L, y el suministro de 7,5 kJ de calor al sistema tiene lugar en un proceso a presión constante. Determínese (a) la presión y la temperatura al final de cada proceso del ciclo, y (b) el rendimiento térmico y la presión media efectiva.|Diesel
Las condiciones de entrada de la turbina de un ciclo Rankine son 30 bar y 500 °C y la presión a la salida de la misma es 0,1 bar. La turbina funciona adiabáticamente con un rendimiento del 82 por 100, mientras que el rendimiento de la bomba es del 78 por 100. Calcúlese (a) el rendimiento térmico del ciclo, (b) la relación de acoplamiento, (c) el flujo másico de vapor de agua necesario, en kg/h. si la potencia neta de salida es 100 MW, (d) el flujo másico de agua de refrigeración necesario, en kg/h. si la temperatura del agua aumenta desde 18 °C hasta 28 °C, y (e) la producción de entropía en la turbina y en la bomba, en kJ/kg K.|Rankine
Las condiciones de entrada en un ciclo Diesel teórico que funciona con una relación de compresión de 18 son 14,4 psia y 60 °F. La relación de corte es 2. (a) Calcúlese la presión y la temperatura final de cada uno de los procesos del ciclo, y (b) determínese el rendimiento térmico y la presión media efectiva del ciclo.|Diesel
Las condiciones iniciales para un ciclo Otto de aire estándar que funciona con una relación de compresión de 8:1 son 0,95 bar y 17 °C. El volumen del cilindro al comenzar la carrera de compresión es 2,20 L, y el calor suministrado a volumen constante es 3.60 kJ. (a) Calcúlese la presión y la temperatura al final de cada uno de los procesos del ciclo, y (b) determínese el rendimiento térmico y la presión media efectiva del ciclo.|Otto
Por un ciclo Rankine de una unidad de potencia de vapor de agua circula un flujo másico de 23.740 kg/h. El agua entra a la caldera a 100 bar y sale del condensador a 0,10 bar y 45.0 °C. El flujo másico de agua de refrigeración en el condensador es igual a 1,31 x 10^6 kg/h, donde aumenta su temperatura 8,50 °C. Determínese (a) la entalpia y entropía a la salida de la turbina, (b) la entalpia a la entrada de la turbina, (c) el calor comunicado en kJ/kg, (d) el rendimiento térmico, y (e) la potencia que sale de la turbina en kW.|Rankine
Un ciclo Brayton de aire estándar funciona con una relación de presiones de 7 y unas temperaturas mínima y máxima de 300 y 1.200 K. Con unos rendimientos adiabáticos del compresor y la turbina de 0,81 y 0,86, respectivamente, y con un flujo volumétrico de aire a la entrada de 30 m3/min. determínese (a) la relación de acoplamiento, (b) el rendimiento térmico, y (c) la potencia neta desarrollada, en kilovatios. (Véase el Problema 15.52.)|Joule
Un ciclo Brayton de aire estándar funciona con una relación de presiones de 7,0, una presión de entrada de 96 kPa y unas temperaturas mínima y máxima de 300 y 1.200 K. Si el flujo volumétrico de aire a la entrada es de 30 m3/min, determínese (a) la relación de acoplamiento, (b) el rendimiento térmico, y (c) la potencia neta desarrollada, en kilovatios.|Joule
Un ciclo Brayton ideal de aire estándar funciona con aire que entra al compresor a 0.95 bar y 22 °C. La relación de presiones rp es 6:1, y el aire sale de la cámara de combustión a 1.100 K. Calcúlese el trabajo suministrado al compresor, el trabajo de salida de la turbina y el rendimiento térmico del ciclo, de acuerdo con los datos de la Tabla A.5.|Joule
Un ciclo Brayton ideal funciona entre las temperaturas extremas de 290 y 1.200 K. Calcúlese utilizando un programa de ordenador y hágase una representación gráfica de (a) el trabajo neto, en kJ/kg, y (b) el rendimiento térmico para un intervalo de la relación de presiones desde 4 hasta 14 en intervalos de 2.|Joule
Un ciclo de aire, se ejecuta en un sistema cerrado y se compone de los siguientes 4 procesos: 1-2 Compresión isoentrópica de 100 kPa y 27ºC a 1 Mpa. 2-3 Adición de calor a P = Ctte en la cantidad de 2840 kJ/kg. 3-4 Rechazo de calor a V=ctte hasta 100 kPa. 4-1 Rechazo de calor a P=ctte hasta el estado inicial. a) Muestre el ciclo en diagramas P-v y T-s. b) Calcule la temperatura máxima en el ciclo. c) Determine la eficiencia térmica.|Diesel
Un ciclo de Otto, con una relación de compresión de 7.5, funciona a partir de condiciones de admisión de 97.91 kPa abs., 29.4 ºC. Calcule la presión y la temperatura al final de la compresión (a) si el aire frío (k = 1.4) es la sustancia de trabajo, (b) si se tiene aire caliente (k = 1.32) como sustancia operante. Compare las respuestas. (e) Determine la eficiencia térmica ideal con base en las rondiciones dadas en (a) y (b).|Otto
Un ciclo Diesel de aire estándar funciona con una relación de compresión de 14,8 y una relación de corte de 2. La temperatura y presión al comienzo de la compresión son 100°F y 14,5 psia, respectivamente. Determínese (a) la temperatura máxima del ciclo, en grados Rankine, (b) la presión después de la expansión isoentrópica, en psia, y (c) el calor suministrado por ciclo, en Btu/lbm. Utilícense los valores de la Tabla A.5I.|Diesel
Un ciclo Diesel de aire estándar funciona con una relación de compresión de 16,7 y una relación de corte de 2. La temperatura y presión al comienzo de la compresión son 37 °C y 0,10 MPa, respectivamente. Determínese (a) la temperatura máxima del ciclo, en kelvin. (b) la presión después de la expansión isoentrópica, en MPa. (c) el calor suministrado por ciclo, en kJ/kg, y (d) el flujo volumétrico de aire, medido en las condiciones existentes al comenzar la compresión, necesario para producir 200 kW. Utilícense los valores de la Tabla A.5.|Diesel
Un ciclo Diesel de aire estándar presenta unas condiciones iniciales en donde la temperatura es de 290 K y la presión de 90 kPa. Si la temperatura al final de la compresión es de 700 K y la temperatura máxima del ciclo es de 1650 K, la masa es igual a 1 kg. Determinar los valores de las variables de estado en los cuatro estados termodinámicos. Mostrar los diagramas P-V y T-s del ciclo Diesel.|Diesel
Un ciclo Diesel de aire estándar tiene una relación de compresión de 15,08:1. La presión y la temperatura al comienzo de la compresión son 1 bar y 27 °C. respectivamente. Si la temperatura máxima del ciclo es 2.250 K, determínese (a) la relación de corte, (b) la presión máxima en bar. (c) el rendimiento térmico, y (J) la presión media efectiva, en bar.|Diesel
Un ciclo Otto de aire estándar funciona con una relación de compresión de 8,50, y el aire al comienzo de la compresión se halla a 14,5 psia y 90 °F. La presión se triplica en el proceso de suministro de calor. Utilizando la tabla A.51, determínese (a) las temperaturas en el ciclo, en grados Rankine, (b) el rendimiento térmico, (c) la presión media efectiva en psi, y (d) el rendimiento térmico de un motor de Camot que funcionase entre los mismos límites de temperatura.|Otto
Un ciclo Otto de aire estándar funciona con una relación de compresión de 8,55, y el aire al comienzo de la compresión se halla a 98 kPa y 32 °C. La presión se triplica en el proceso de suministro de calor. Utilizando la tabla A.5, determínese (a) las temperaturas en el ciclo, en kelvin, (b) el rendimiento térmico, (c) la presión media efectiva en kPa, y (d) el rendimiento térmico de un motor de Carnot que funcionase entre los mismos limites de temperatura.|Otto
Un ciclo Otto ideal con aire tomado de la atmósfera como fluido de trabajo, tiene una relación de compresión de 8. Las temperaturas mínima y máxima en el ciclo son 310 K y 1600 K. Determine: a) La cantidad de calor transferido al aire durante el proceso de adición de calor. b) La eficiencia térmica. c) La presión media efectiva y la cilindrada.|Otto
Un ciclo Rankine ideal produce vapor de agua a 140 bar y 560 °C y el fluido condensa a 0,06 bar. La salida neta de potencia es 20 MW. Determínese (a) el calor suministrado, en kJ/kg. (b) el rendimiento térmico, (c) el flujo másico de vapor en kg/h, y (d) el flujo másico de agua de refrigeración que se necesita en el condensador, si ésta aumenta su temperatura 10 °C.|Rankine
Un ciclo Rankine ideal que produce 150 MW de potencia neta tiene unas condiciones de entrada a la turbina para el vapor de 80 bar y 440 °C y una presión en el condensador 0,080 bar. El agua de refrigeración del condensador aumenta su temperatura 9,4 °C. Determínese (a) la calidad del vapor a la salida de la turbina, (b) el rendimiento térmico, (c) el flujo másico de vapor necesario en kg/s. y (d) el flujo volumétrico de agua de refrigeración que se necesita, en m3/s, si el agua entra a 18 °C.|Rankine
Un ciclo Rankine tiene una presión de salida de turbina de 0,008 MPa y una presión de entrada en turbina de 6,0 MPa. Determínese (1) la calidad a la salida de la turbina, (2) el rendimiento térmico, y (3) el flujo másico de vapor, en kg/h, para una potencia neta de salida de 10 MW, con una temperatura de entrada a la turbina de (a) 540 °C. y (b) 440 °C.|Rankine
Un ciclo Rankine tiene una presión de salida de turbina de 0,08 bar y una presión de entrada en turbina de 600 °C. Determínese (1) la calidad a la salida de la turbina, y (2) el rendimiento térmico para una presión de entrada a la turbina de (a) 120 bar, y (h) 60 bar.|Rankine
Un ciclo Rankine utiliza energía solar como fuente térmica y refrigerante 134a como fluido de trabajo. Éste entra a la bomba como líquido saturado a 9 bar y sale a 16 bar. La temperatura de entrada a la turbina es 160 °C y el flujo másico es 1.000 kg/h. Determínese (a) el trabajo neto de salida en kJ/kg, (b) el rendimiento térmico, y (c) el área, en m2, del colector solar que se necesita si el colector recibe 650 J/m2 s.|Rankine
Un ciclo Rankine utiliza un pequeño acumulador de energía solar a 90 °C como fuente térmica y refrigerante 134a como fluido de trabajo. Éste entra a la bomba como líquido saturado a 7 bar y sale de la misma a 16 bar. La temperatura de entrada a la turbina es 80 °C y el flujo másico es 1.200 kg/h. Determínese (a) el trabajo neto de salida en kJ/kg, (b) el rendimiento térmico, y (c) el flujo másico necesario de agua procedente del acumulador, en kg/h, si la temperatura del agua disminuye 5 °C al atravesar el evaporador del ciclo.|Rankine
Un motor funciona según un ciclo Diesel con una relación de compresión de 15:1, y el combustible se inyecta en el 10 por 100 de la carrera. La presión y la temperatura del aire que entra al ciclindro son 98 kPa y 17 °C, respectivamente. Determínese (a) la relación de corte, (b) la temperatura al final del proceso de compresión, en kelvin. (c) la presión después de la expansión isoentrópica, en kPa. (d) el calor suministrado, en kJ/kg, y (e) el flujo volumétrico de aire, en m3/kg, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potencia de 200 kW. Utilícese la Tabla A.5.|Diesel
Una planta de turbina de gas que opera en un ciclo Brayton con regeneración, entrega 20000 kW a un generador eléctrico. La temperatura máxima es 1200 K  y la temperatura mínima es 290 K. La presión mínima es 95 kPa y la presión máxima es 380 kPa. La eficiencia del regenerador es de 75%. La eficiencia del compresor es de 80% y la de la turbina es 85%. a) ¿Cuál es la potencia de la turbina? b)¿Qué fracción de la potencia de la turbina es usada para mover|Joule
