enunciados|modelos
Se deja caer una pelota, inicialmente en reposo, desde una altura de 50 m sobre el nivel del suelo. a) ¿Cuál será la rapidez de la pelota justo en el momento anterior al choque contra el suelo? b) ¿Cuánto tiempo requiere para llegar al suelo?|CaidaLibre
Una piedra se lanza hacia arriba con una rapidez de 20 m/s. En su camino hacia abajo es atrapada en un punto situado a 5.0 m por encima del lugar desde donde se lanzó. a) ¿Qué rapidez tenía cuando fue atrapada? b) ¿Cuánto tiempo tomó el recorrido?|LanzamientoVertical
Un automóvil mantiene una aceleración constante de 8 m/s². Si su velocidad inicial era de 20 m/s al norte, ¿cuál será su velocidad después de 6 s?|MovimientoUniformementeAcelerado
Un camión que viaja a 60 mi/h frena hasta detenerse por completo en un tramo de 180 ft. ¿Cuáles fueron la aceleración media y el tiempo de frenado?|MovimientoUniformementeAcelerado
Un automóvil acelera uniformemente mientras pasa por dos puntos marcados que están separados 30 m. El tiempo que tarda en recorrer la distancia entre los dos puntos es de 4.0 s y la rapidez del automóvil en el primer punto marcado es de 5.0 m/s. Encuentre la aceleración del automóvil y su rapidez al llegar al segundo punto marcado.|MovimientoUniformementeAcelerado
Un autobús que se mueve en línea recta con rapidez de 20 m/s comienza a detenerse a razón de 3.0 m/s cada segundo. Encuentre cuánto se desplaza antes de detenerse.|MovimientoUniformementeAcelerado
Una lancha de motor parte del reposo y alcanza una velocidad de 15 m/s en un tiempo de 6 s. ¿Cuál era su aceleración y cuán lejos viajó?|MovimientoUniformementeAcelerado
Un automóvil que se mueve en un camino recto a 30 m/s disminuye su rapidez uniformemente hasta un valor de l0 m/s en un tiempo de 5.0 s. Determine: a) la aceleración del automóvil y b) la distancia que recorre en el tercer segundo.|MovimientoUniformementeAcelerado
Se lanza una pelota verticalmente hacia arriba en la Luna y regresa a su punto de partida en 4.0 s. La aceleración debida a la gravedad en ese lugar es de 1.60 m/s². Encuentre la rapidez inicial.|LanzamientoVertical
Un esquiador inicia un salto horizontalmente con una velocidad inicial de 25 m/s, como se muestra en la figura 6.10. La altura inicial al final de la rampa es de 80 m arriba del punto de contacto con el suelo, (a) ¿Cuánto tiempo permanece en el aire el esquiador? (b) ¿Cuán lejos viaja horizontalmente? (c) ¿Cuáles son las componentes horizontal y vertical de la velocidad final?|LanzamientodeProyectil
Un autobús parte del reposo y se mueve con una aceleración constante de 5.0 m/s². Encuentre su rapidez y la distancia recorrida después de transcurridos 4.0 s.|MovimientoUniformementeAcelerado
Se dejan caer dos pelotas al piso desde diferentes alturas. Una se deja caer 1.5 s después de la otra, pero ambas golpean el piso al mismo tiempo, 5.0 s después de dejar caer la primera. a) ¿Cuál es la diferencia de alturas a la cual se dejaron caer? b) ¿Desde qué altura se dejó caer la primera pelota?|LanzamientoVertical
Un robot llamado Fred se mueve inicialmente a 2.20 m/s por un pasillo en una terminal espacial. Después acelera a 4.80 m/s en un tiempo de 0.20 s. Determine el tamaño o la magnitud de su aceleración media a lo largo de la trayectoria recorrida.|MovimientoUniformementeAcelerado
Un cuerpo cae libremente desde el reposo. Encuentre: a) su aceleración, b) la distancia que recorre en 3.0 s, c) su rapidez después de caer 70 m, d) el tiempo necesario para alcanzar una rapidez de 25 m/s y e) el tiempo que tarda en caer 300 m.|CaidaLibre
La rapidez de un camión se incrementa uniformemente desde 15 km/h hasta 60 km/h en 20 s. Determine: a) la rapidez promedio, b) la aceleración y c) la distancia recorrida, todo en unidades de metros y segundos.|MovimientoUniformementeAcelerado
Se lanza una pelota de béisbol verticalmente hacia arriba en la superficie lunar con una rapidez inicial de 35 m/s. Calcule: a) la máxima altura que alcanza la pelota, b) el tiempo que tarda en alcanzar esa altura, c) su velocidad 30 s después de lanzarse y d) cuándo la pelota está a 100 m de altura.|LanzamientoVertical
Una flecha sale del arco con una velocidad inicial de 120 ft/s a un ángulo de 37° respecto a la horizontal. ¿Cuáles son las componentes horizontal y vertical de su desplazamiento al cabo de dos segundos?|LanzamientodeProyectil
Mientras un ascensor se mueve hacia arriba por un cubo a una velocidad de 3.00 m/s, se suelta una tuerca de un tornillo. La tuerca golpea el fondo del cubo del ascensor en 2.00 s. a) ¿A qué altura con respecto al fondo del cubo se encuentra el ascensor cuando se desprendió la tuerca? b) ¿Qué tan lejos del fondo estaba la tuerca 0.25 s después de salirse de su sitio?|LanzamientoVertical
Un martillo es arrojado verticalmente hacia arriba en dirección a la cumbre de un techo de 16 m de altura. ¿Qué velocidad inicial mínima se requirió para que llegara ahí?|LanzamientoVertical
Se deja caer una canica desde un puente y golpea el agua en un tiempo de 5.0 s. Calcule a) la rapidez con que choca contra el agua y b) la altura del puente.|CaidaLibre
Un piloto acróbata vuela a l5 m/s en dirección paralela al suelo plano que se encuentra l00 m debajo, como se muestra en la figura 2-5. ¿A qué distancia x del objetivo debe estar el avión para que, si deja caer un saco de harina, éste choque con el blanco?|LanzamientodeProyectil
Se dispara un proyectil con una velocidad inicial de 80 m /s con un ángulo de 30° por encima de la horizontal. Determine (a) su posición y velocidad después de 6 s, (b) el tiempo necesario para que alcance su altura máxima, y (c) el alcance horizontal R.|LanzamientodeProyectil
A un ladrillo se le imparte una velocidad inicial de 6 m/s en su trayectoria hacia abajo. ¿Cuál será su velocidad final después de caer una distancia de 40 m?|CaidaLibre
Un cuerpo con velocidad inicial de 8.0 m/s se mueve a lo largo de una línea recta con aceleración constante y recorre 640 m en 40 s. Para el intervalo de 40 s, encuentre: a) la velocidad promedio, b) la velocidad final y c) la aceleración.|MovimientoUniformementeAcelerado
Una pelota de béisbol arrojada verticalmente hacia arriba desde la azotea de un edificio alto tiene una velocidad inicial de 20 m/s. (a) Calcule el tiempo necesario para que alcance la altura máxima, (b) Determine la altura máxima, (c) Determine su posición y su velocidad después de 1.5 s. (d) ¿Cuáles son su posición y su velocidad después de 5 s?|LanzamientoVertical
Un objeto que se mueve a 13 m/s frena uniformemente a razón de 2.0 m/s por cada segundo durante un tiempo de 6.0 s. Determine: a) su rapidez final, b) su rapidez promedio durante los 6.0 s y c) la distancia recorrida en los 6.0 s.|MovimientoUniformementeAcelerado
Se lanza una pelota de béisbol con una velocidad inicial de 100 m/s con un ángulo de 30.0° en relación con la horizontal, como se muestra en la figura 2-6. ¿A qué distancia del punto de lanzamiento alcanzará la pelota su nivel inicial?|LanzamientodeProyectil
Un avión de reacción aterriza en un portaaviones a 63 m/s. (A) ¿Cuál es la aceleración (supuesta constante) si se detiene en 2.0 s debido a un cable sujetador que engancha el avión y lo detiene?  (B) Sí el avión hace contacto con la pista en la posición xi=0, ¿cuál es su posición final?|MovimientoUniformementeAcelerado
Una flecha se dispara verticalmente hacia arriba con una velocidad inicial de 80 ft/s. ¿Cuál es su altura máxima?|LanzamientoVertical
La rapidez de un tren se reduce uniformemente desde 15 m/s hasta 7.0 m/s al recorrer una distancia de 90 m. a) Calcule la aceleración. b) ¿Qué distancia recorrerá el tren antes de alcanzar el reposo, si se considera que la aceleración permanece constante?|MovimientoUniformementeAcelerado
Una pelota de béisbol sale golpeada por el bate con una velocidad de 30 m/s a un ángulo de 30°. ¿Cuáles son las componentes horizontal y vertical de su velocidad después de 3 s?|LanzamientodeProyectil
Una piedra se lanza verticalmente hacia arriba y se eleva a una altura de 20 m. ¿Con qué rapidez se lanzó?|LanzamientoVertical
Un aeroplano parte del reposo y acelera uniformemente en línea recta sobre el piso antes de elevarse. Recorre 600 m en 12 s. Encuentre: a) la aceleración, b) la rapidez al final de los 12 s y c) la distancia que recorre durante el duodécimo segundo.|MovimientoUniformementeAcelerado
Como se muestra en la figura 2-7, se lanza una pelota desde lo alto de un edificio hacia otro más alto, a 50 m de distancia. La velocidad inicial de la pelota es de 20 m/s, con una inclinación de 40° SOBRE LA HORIZONTAL. ¿A qué distancia, por encima o por debajo de su nivel inicial, golpeará la pelota sobre la pared opuesta?|LanzamientodeProyectil
Un tren que viaja inicialmente a 16 m/s se acelera constantemente a razón de 2 m/s² en la misma dirección. ¿Cuán lejos viajará en 20 s? ¿Cuál será su velocidad final?|MovimientoUniformementeAcelerado
Desde un globo que está a 300 m sobre el suelo y se eleva a 13 m/s, se deja caer una bolsa de lastre. Para la bolsa, encuentre: a) la altura máxima que alcanza, b) su posición y velocidad después de 5.0 s de haberse desprendido y c) el tiempo que tarda en bajar y golpear el suelo.|LanzamientoVertical
Una pelota de hule se deja caer del reposo, como se muestra en la figura 6.5. Encuentre su velocidad y su posición después de 1, 2, 3 y 4 s.|CaidaLibre
Se lanza una pelota de béisbol hacia arriba con una rapidez de 30 m/s. a) ¿Cuánto tiempo tarda en subir? b) ¿A qué altura llegará? c) ¿Cuánto tiempo tardará, a partir de que se separa de la mano, en regresar a su punto de partida? d) ¿Cuándo tendrá una rapidez de 16 m/s?|LanzamientoVertical
Considere un automóvil que se mueve con aceleración uniforme de una rapidez inicial de 12 m/s a una final de 22 m/s, como se indica en la figura 6.2. Si consideramos la dirección a la derecha como positiva, la velocidad del auto en A es de +12 m/s y su velocidad final en B es de +22 m/s. Si el incremento en la velocidad requiere 5 s.|MovimientoUniformementeAcelerado
Como se muestra en la figura 2-4, desde la cima de un risco de 80 m de alto se dispara un proyectil con una rapidez horizontal de 30 m/s. a) ¿Cuánto tiempo necesitará para chocar contra el suelo en la base del risco? b) ¿A qué distancia del pie del risco será el choque? c) ¿Con qué velocidad se estrellará?|LanzamientodeProyectil
Se deja caer una piedra a partir del estado de reposo. ¿Cuándo alcanzará un desplazamiento de 18 m por debajo del punto de partida? ¿Cuál es su velocidad en ese momento?|CaidaLibre
Un esquiador parte del reposo y se desliza 9.0 m hacia abajo, por una pendiente, en 3.0 s. ¿Cuánto tiempo, después del inicio, el esquiador habrá adquirido una velocidad de 24 m/s? Considere la aceleración constante y la trayectoria recta.|MovimientoUniformementeAcelerado
Una botella que se deja caer desde un globo alcanza el piso en 20 s. Determine la altura del globo si: a) estuviera en reposo en el aire, b) ascendiera con una rapidez de 50 m/s cuando se deja caer la botella.|LanzamientoVertical
Un tren reduce su velocidad de 60 a 20 km/h en un tiempo de 8 s. Encuentre la aceleración en unidades del SI.|MovimientoUniformementeAcelerado
Una flecha se acelera de cero a 40 m/s en 0.5 s que permanece en contacto con la cuerda del arco. ¿Cuál es la aceleración media?|MovimientoUniformementeAcelerado
Se lanza un cuerpo hacia abajo desde el punto más alto de un edificio de 170 m de altura, formando un ángulo de 30° con la horizontal. Su rapidez inicial es de 40 m/s. a) ¿Cuánto tiempo transcurrirá antes de que el cuerpo llegue al piso? b) ¿A qué distancia del pie del edificio golpeará? c) ¿Cuál será el ángulo con la horizontal al cual chocará?|LanzamientodeProyectil
En una prueba de frenado, un vehículo que viaja a 60 km/h se detiene en un tiempo de 3 s. ¿Cuáles fueron la aceleración y la distancia de frenado?|MovimientoUniformementeAcelerado
Una manguera que se encuentra tendida en el piso lanza una corriente de agua hacia arriba con un ángulo de 40° con la horizontal. La rapidez del agua es de 20 m/s cuando sale de la manguera. ¿A qué altura golpeará sobre una pared que se encuentra a 8.0 m de distancia?|LanzamientodeProyectil
Un automóvil viaja a 20.0 m/s cuando el conductor pisa los frenos y se detiene en una línea recta en 4.2 s. ¿Cuál es la magnitud de su aceleración media?|MovimientoUniformementeAcelerado
Un cuerpo con rapidez inicial de 40 m/s se lanza hacia arriba desde el nivel del piso, con un ángulo de 50° con la horizontal. a) ¿Cuánto tiempo transcurrirá antes de que el cuerpo choque contra el piso? b) ¿A qué distancia del punto de partida golpeará el piso? c) ¿Cuál será el ángulo con la horizontal al chocar? |LanzamientodeProyectil
Un avión aterriza en la cubierta de un portaaviones con una velocidad inicial de 90 m/s y se detiene por completo en una distancia de 100 m. Encuentre la aceleración y el tiempo necesario para detenerlo.|MovimientoUniformementeAcelerado
Una caja se desliza hacia abajo sobre un plano inclinado con aceleración uniforme. Parte del reposo y alcanza una rapidez de 2.7 m/s en 3.0 s. Encuentre a) la aceleración y b) la distancia recorrida en los primeros 6.0 s.|MovimientoUniformementeAcelerado
La velocidad de un automóvil aumenta uniformemente de 6.0 m/s a 20 m/s al recorrer una distancia de 70 m en línea recta. Calcule la aceleración y el tiempo transcurrido.|MovimientoUniformementeAcelerado
Un tren monorriel que viaja a 22 m/s tiene que detenerse en una distancia de 120 m. ¿Qué aceleración media se requiere y cuál es el tiempo de frenado?|MovimientoUniformementeAcelerado
Se arroja una piedra hacia abajo en línea recta con una rapidez inicial de 8.0 m/s y desde una altura de 25 m. Encuentre a) el tiempo que tarda en llegar al piso y b) la rapidez con la que choca contra el piso.|CaidaLibre
Un tren que corre a lo largo de una línea recta a 30 m/s frena uniformemente hasta detenerse en 44 s. Determine la aceleración y la distancia recorrida hasta detenerse.|MovimientoUniformementeAcelerado
Un objeto parte del reposo con una aceleración constante de 8.00 m/s² a lo largo de una línea recta. Encuentre: a) la rapidez después de 5.00 s, b) la rapidez media para el intervalo de 5.00 s y c) la distancia total recorrida en los 5.00 s.|MovimientoUniformementeAcelerado
Una canica, que rueda con una rapidez de 20 cm/s, cae por el borde de una mesa que tiene una altura de 80 cm. a) ¿Cuánto tiempo necesita para chocar con el piso? b) ¿A qué distancia horizontal del borde de la mesa chocará la canica contra el piso?|LanzamientodeProyectil
Se lanza una pelota hacia arriba formando un ángulo de 30° con la horizontal y cae en la parte más alta de un edificio que está a 20 m de distancia. El borde superior se encuentra a 5.0 m por encima del punto de lanzamiento. ¿Con qué rapidez se lanzó la pelota? |LanzamientodeProyectil
